"timestamp","system_cpu_percent","system_memory_used_bytes","system_memory_free_bytes","backend_pid","backend_alive","backend_cpu_seconds","backend_working_set_bytes","backend_private_memory_bytes","backend_thread_count"
"2026-08-16T03:51:21.0742865+07:00","11.75","13560512512","3330465792","16632","True","0.671875","61542400","66609152","16"
"2026-08-16T03:51:22.1298834+07:00","28.2","13724475392","3166502912","16632","True","0.671875","61542400","66609152","16"
"2026-08-16T03:51:23.1450021+07:00","33.04","13719334912","3171643392","16632","True","0.671875","61575168","66609152","16"
"2026-08-16T03:51:24.1575733+07:00","25.31","13769506816","3121471488","16632","True","0.671875","61575168","66609152","16"
"2026-08-16T03:51:25.1742768+07:00","45.71","13787090944","3103887360","16632","True","0.671875","61575168","66609152","16"
"2026-08-16T03:51:26.2013613+07:00","55.62","13853372416","3037605888","16632","True","0.671875","61575168","66609152","16"
"2026-08-16T03:51:27.2169612+07:00","36.3","13874479104","3016499200","16632","True","0.703125","61865984","66863104","16"
"2026-08-16T03:51:28.2330281+07:00","23.7","13845712896","3045265408","16632","True","0.734375","56582144","58552320","16"
"2026-08-16T03:51:29.2506147+07:00","19.73","13853126656","3037851648","16632","True","0.78125","57675776","59637760","16"
"2026-08-16T03:51:30.2857071+07:00","26.19","13856354304","3034624000","16632","True","0.796875","58376192","59912192","16"
"2026-08-16T03:51:31.2950614+07:00","13.55","13854470144","3036508160","16632","True","0.828125","59187200","60182528","16"
"2026-08-16T03:51:32.3087862+07:00","12.02","13829132288","3061846016","16632","True","0.859375","59252736","60182528","16"
"2026-08-16T03:51:33.3239929+07:00","14.2","13801603072","3089375232","16632","True","0.875","59514880","60452864","16"
"2026-08-16T03:51:34.3389768+07:00","15.97","13798420480","3092557824","16632","True","0.921875","59871232","63426560","16"
"2026-08-16T03:51:35.3549855+07:00","12.56","13814738944","3076239360","16632","True","0.96875","60657664","63426560","16"
"2026-08-16T03:51:36.3672438+07:00","14.99","13819138048","3071840256","16632","True","0.984375","61321216","63426560","16"
"2026-08-16T03:51:37.3794596+07:00","25.58","13804732416","3086245888","16632","True","1.015625","61853696","63967232","16"
"2026-08-16T03:51:38.3972752+07:00","18.71","13813334016","3077644288","16632","True","1.046875","62451712","64389120","16"
"2026-08-16T03:51:39.4115523+07:00","13.53","13808586752","3082391552","16632","True","1.078125","62283776","64434176","16"
"2026-08-16T03:51:40.4216223+07:00","11.56","13806694400","3084283904","16632","True","1.078125","63000576","69685248","16"
