"timestamp","system_cpu_percent","system_memory_used_bytes","system_memory_free_bytes","backend_pid","backend_alive","backend_cpu_seconds","backend_working_set_bytes","backend_private_memory_bytes","backend_thread_count"
"2026-08-16T00:55:53.9622385+07:00","17.95","13220945920","3670032384","31600","True","0.5625","61706240","66654208","16"
"2026-08-16T00:55:55.0067175+07:00","36.74","13336813568","3554164736","31600","True","0.5625","61706240","66654208","16"
"2026-08-16T00:55:56.0289370+07:00","29.54","13394055168","3496923136","31600","True","0.5625","61734912","66654208","16"
"2026-08-16T00:55:57.0457164+07:00","20.81","13389369344","3501608960","31600","True","0.5625","61734912","66654208","16"
"2026-08-16T00:55:58.0633369+07:00","38.25","13477441536","3413536768","31600","True","0.5625","61734912","66654208","16"
"2026-08-16T00:55:59.0820243+07:00","41.51","13521453056","3369525248","31600","True","0.5625","61734912","66654208","16"
"2026-08-16T00:56:00.0996132+07:00","30.48","13536370688","3354607616","31600","True","0.5625","61804544","66654208","16"
"2026-08-16T00:56:01.1159684+07:00","32.79","13556121600","3334856704","31600","True","0.59375","56045568","58179584","16"
"2026-08-16T00:56:02.1355105+07:00","20.1","13551575040","3339403264","31600","True","0.59375","56279040","58433536","16"
"2026-08-16T00:56:03.1673592+07:00","17.65","13539028992","3351949312","31600","True","0.59375","56537088","58433536","16"
"2026-08-16T00:56:04.1849303+07:00","21.11","13531410432","3359567872","31600","True","0.609375","56664064","58433536","16"
"2026-08-16T00:56:05.1990342+07:00","21.86","13493469184","3397509120","31600","True","0.609375","56881152","58433536","16"
"2026-08-16T00:56:06.2140747+07:00","19.2","13483438080","3407540224","31600","True","0.609375","57417728","59518976","16"
"2026-08-16T00:56:07.2287795+07:00","14.84","13484724224","3406254080","31600","True","0.609375","57688064","59518976","16"
"2026-08-16T00:56:08.2415356+07:00","22.62","13489631232","3401347072","31600","True","0.609375","57954304","59518976","16"
"2026-08-16T00:56:09.2579210+07:00","15.4","13493927936","3397050368","31600","True","0.609375","57966592","59518976","16"
"2026-08-16T00:56:10.2757650+07:00","11.31","13492285440","3398692864","31600","True","0.609375","58200064","59518976","16"
"2026-08-16T00:56:11.2869804+07:00","10.93","13493264384","3397713920","31600","True","0.625","58286080","59691008","16"
"2026-08-16T00:56:12.2973565+07:00","13.59","13498048512","3392929792","31600","True","0.65625","58286080","59691008","16"
