"timestamp","system_cpu_percent","system_memory_used_bytes","system_memory_free_bytes","backend_pid","backend_alive","backend_cpu_seconds","backend_working_set_bytes","backend_private_memory_bytes","backend_thread_count"
"2026-08-13T02:10:12.1933008+07:00","28","12618342400","4272635904","18480","True","1.59375","64647168","64921600","12"
"2026-08-13T02:10:13.6091793+07:00","20","12615475200","4275503104","18480","True","1.609375","64647168","64921600","12"
"2026-08-13T02:10:15.0243469+07:00","24","12644466688","4246511616","18480","True","1.625","64647168","65036288","12"
"2026-08-13T02:10:16.4343880+07:00","25","12649119744","4241858560","18480","True","1.640625","64708608","64909312","12"
"2026-08-13T02:10:17.8410820+07:00","27","12638081024","4252897280","18480","True","1.65625","64708608","64909312","12"
"2026-08-13T02:10:19.2473822+07:00","30","12638842880","4252135424","18480","True","1.671875","64716800","64917504","12"
"2026-08-13T02:10:20.6579265+07:00","34","12648325120","4242653184","18480","True","1.71875","64782336","65019904","12"
"2026-08-13T02:10:22.0914425+07:00","28","12640555008","4250423296","18480","True","1.75","64827392","65024000","12"
"2026-08-13T02:10:23.4977212+07:00","21","12663013376","4227964928","18480","True","1.78125","64843776","65028096","12"
"2026-08-13T02:10:24.9137360+07:00","32","12654194688","4236783616","18480","True","1.828125","64847872","65032192","12"
"2026-08-13T02:10:26.3264143+07:00","40","12679999488","4210978816","18480","True","1.84375","64851968","65036288","12"
"2026-08-13T02:10:27.7367457+07:00","27","12673269760","4217708544","18480","True","1.875","64856064","65044480","12"
"2026-08-13T02:10:29.1412765+07:00","28","12681351168","4209627136","18480","True","1.890625","64876544","65060864","12"
"2026-08-13T02:10:30.5579500+07:00","28","12662800384","4228177920","18480","True","1.890625","64876544","65060864","12"
"2026-08-13T02:10:31.9698372+07:00","50","12683046912","4207931392","18480","True","1.921875","64667648","64749568","12"
"2026-08-13T02:10:33.4102356+07:00","39","12674801664","4216176640","18480","True","1.921875","64933888","65896448","12"
"2026-08-13T02:10:34.8150383+07:00","25","12698218496","4192759808","18480","True","1.96875","64933888","65896448","12"
"2026-08-13T02:10:36.2197920+07:00","32","12695773184","4195205120","18480","True","1.984375","64823296","64946176","12"
"2026-08-13T02:10:37.6233926+07:00","28","12701134848","4189843456","18480","True","2","64831488","64966656","12"
"2026-08-13T02:10:39.0312175+07:00","16","12701704192","4189274112","18480","True","2.015625","64843776","64966656","12"
"2026-08-13T02:10:40.4364965+07:00","20","12717826048","4173152256","18480","True","2.03125","64843776","64966656","12"
"2026-08-13T02:10:41.8459197+07:00","39","12629626880","4261351424","18480","True","2.046875","65335296","66146304","12"
"2026-08-13T02:10:43.2534057+07:00","22","12630917120","4260061184","18480","True","2.0625","65531904","66416640","12"
"2026-08-13T02:10:44.6644104+07:00","24","12658798592","4232179712","18480","True","2.078125","65822720","66957312","12"
"2026-08-13T02:10:46.0698099+07:00","29","12636692480","4254285824","18480","True","2.09375","65691648","66113536","12"
"2026-08-13T02:10:47.4810970+07:00","39","12651016192","4239962112","18480","True","2.109375","66015232","66482176","12"
"2026-08-13T02:10:48.8925915+07:00","34","12659703808","4231274496","18480","True","2.140625","66015232","66482176","12"
"2026-08-13T02:10:50.2867407+07:00","33","12651008000","4239970304","18480","True","2.140625","66015232","66482176","12"
"2026-08-13T02:10:51.6969688+07:00","26","12652732416","4238245888","18480","True","2.15625","66015232","66482176","12"
"2026-08-13T02:10:53.0979909+07:00","30","12676661248","4214317056","18480","True","2.171875","66015232","66482176","12"
"2026-08-13T02:10:54.4979892+07:00","27","12649439232","4241539072","18480","True","2.21875","65740800","66224128","12"
"2026-08-13T02:10:55.8977440+07:00","30","12650414080","4240564224","18480","True","2.234375","65740800","66224128","12"
"2026-08-13T02:10:57.3037354+07:00","28","12659871744","4231106560","18480","True","2.3125","66277376","67043328","12"
"2026-08-13T02:10:58.7148277+07:00","28","12723908608","4167069696","18480","True","2.34375","66277376","67043328","12"
"2026-08-13T02:11:00.1248432+07:00","17","12715929600","4175048704","18480","True","2.359375","66281472","67047424","12"
"2026-08-13T02:11:01.5312578+07:00","22","12699172864","4191805440","18480","True","2.375","66281472","67047424","12"
